Orthogroup	Total	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000923	2	6183.Smp_049390.1	NC_001137 Delta 1-pyrroline-5-carboxylate reductase_ catalyzes the last step in proline biosynthesis [Saccharomyces cerevisiae]
OG0000925	2	6183.Smp_049880.1	NC_001142 Essential component of the nuclear pore complex_ which mediates nuclear import and export [Saccharomyces cerevisiae]
OG0000927	2	6183.Smp_050360.1	NC_001133 Essential nuclear protein_ constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus [Saccharomyces cerevisiae]
OG0000929	2	6183.Smp_050470.1	NC_001144 Nucleolar protein_ component of the small subunit _SSU_ processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA [Saccharomyces cerevisiae]
OG0000930	2	6183.Smp_050570.1	NC_001136 Essential NTPase required for small ribosome subunit synthesis_ mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p_ may be the endonuclease for site D [Saccharomyces cerevisiae]
OG0000931	2	6183.Smp_050820.1	NC_001134 Subunit of heteropentameric Replication factor C _RF-C__ which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen _PCNA_ processivity factor for DNA polymerases delta and epsilon [Saccharomyces cerevisiae]
OG0000933	2	6183.Smp_051360.1	NC_001134 UDP-N-acetyl-glucosamine-1-P transferase_ transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin [Saccharomyces cerevisiae]
OG0000938	2	6183.Smp_052800.1	NC_001146 Essential subunit of RNA polymerase III transcription factor _TFIIIB__ which is involved in transcription of genes encoding tRNAs_ 5S rRNA_ U6 snRNA_ and other small RNAs [Saccharomyces cerevisiae]
OG0000939	2	6183.Smp_052870.1	NC_001148 Essential_ non-ATPase regulatory subunit of the 26S proteasome_ similar to another S. cerevisiae regulatory subunit_ Rpn5p_ as well as to mammalian proteasome subunits [Saccharomyces cerevisiae]
OG0000940	2	6183.Smp_052910.1	NC_001136 Evolutionarily conserved kinetochore protein that is part of multiple protein complexes_ including the SCF ubiquitin ligase complex_ the CBF3 complex that binds centromeric DNA_ and the RAVE complex that regulates assembly of the V-ATPase [Saccharomyces cerevisiae]
OG0000941	2	6183.Smp_053140.1	NC_001147 Catalytic subunit of the histone acetyltransferase complex _NuA4_ that acetylates four conserved internal lysines of histone H4 N-terminal tail; required for cell cycle progression and transcriptional silencing at the rDNA locus [Saccharomyces cerevisiae]
OG0000943	2	6183.Smp_053230.1	NC_001145 Putative cytochrome b5 reductase_ localized to the plasma membrane; may be involved in regulation of lifespan; required for maturation of Gas1p and Pho8p_ proposed to be involved in protein trafficking [Saccharomyces cerevisiae]
OG0000944	2	6183.Smp_053460.1	NC_001139 Integral membrane protein involved in glycosylphosphatidylinositol _GPI_ anchor synthesis; putative alpha 1_2 mannosyltransferase required for addition of the third mannose onto the GPI core structure; human PIG-Bp is a functional homolog [Saccharomyces cerevisiae]
OG0000945	2	6183.Smp_053510.1	NC_001144 Cytoplasmic aspartyl-tRNA synthetase_ homodimeric enzyme that catalyzes the specific aspartylation of tRNA_Asp_; class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation [Saccharomyces cerevisiae]
OG0000946	2	6183.Smp_053610.1	NC_001136 Cytosolic seryl-tRNA synthetase_ class II aminoacyl-tRNA synthetase that aminoacylates tRNA_Ser__ displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate_ interacts with peroxin Pex21p [Saccharomyces cerevisiae]
OG0000948	2	6183.Smp_053820.1	NC_001144 Essential subunit of Sec61 complex _Sec61p_ Sbh1p_ and Sss1p_; forms a channel for SRP-dependent protein import and retrograde transport of misfolded proteins out of the ER; with Sec63 complex allows SRP-independent protein import into ER [Saccharomyces cerevisiae]
OG0000950	2	6183.Smp_054120.1	NC_001137 Protein constituent of 66S pre-ribosomal particles_ contributes to processing of the 27S pre-rRNA [Saccharomyces cerevisiae]
OG0000952	2	6183.Smp_054340.2	NC_001141 Subunit beta of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ required for the assembly of actin and tubulins in vivo [Saccharomyces cerevisiae]
OG0000953	2	6183.Smp_054540.1	NC_001137 Microtubule-binding protein that together with Kar9p makes up the cortical microtubule capture site and delays the exit from mitosis when the spindle is oriented abnormally [Saccharomyces cerevisiae]
OG0000957	2	6183.Smp_055800.1	NC_001139 Nucleolar protein involved in rRNA processing and 60S ribosomal subunit biogenesis; constituent of several different pre-ribosomal particles; required for exit from G<sub>0</sub> and the initiation of cell proliferation [Saccharomyces cerevisiae]
OG0000959	2	6183.Smp_055890.1	NC_001142 Ribonucleotide-diphosphate reductase _RNR__ small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits [Saccharomyces cerevisiae]
OG0000961	2	6183.Smp_056500.1	NC_001138 Beta 7 subunit of the 20S proteasome [Saccharomyces cerevisiae]
OG0000962	2	6183.Smp_056640.1	NC_001143 U1 snRNP protein involved in splicing_ interacts with the branchpoint-binding protein during the formation of the second commitment complex [Saccharomyces cerevisiae]
OG0000963	2	6183.Smp_056860.1	NC_001144 Component of the RSC chromatin remodeling complex; essential gene required for cell cycle progression and maintenance of proper ploidy; phosphorylated in the G1 phase of the cell cycle; Snf5p paralog [Saccharomyces cerevisiae]
OG0000966	2	6183.Smp_057320.1	NC_001134 ATPase required for the release of Sec17p during the 'priming' step in homotypic vacuole fusion and for ER to Golgi transport; homolog of the mammalian NSF [Saccharomyces cerevisiae]
OG0000971	2	6183.Smp_058460.1	NC_001147 Subunit of the core complex of translation initiation factor 3_eIF3__ essential for translation; part of a subcomplex _Prt1p-Rpg1p-Nip1p_ that stimulates binding of mRNA and tRNA_i_Met to ribosomes [Saccharomyces cerevisiae]
OG0000972	2	6183.Smp_058650.1	NC_001136 Essential_ non-ATPase regulatory subunit of the 26S proteasome lid_ similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit_ Rpn7p [Saccharomyces cerevisiae]
OG0000973	2	6183.Smp_058680.2	NC_001147 Essential protein that binds ribosomal protein L11 and is required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; mouse homolog shows altered expression in Huntington's disease model mice [Saccharomyces cerevisiae]
OG0000974	2	6183.Smp_059540.1	NC_001148 Signal recognition particle _SRP_ subunit _homolog of mammalian SRP54_; contains the signal sequence-binding activity of SRP_ interacts with the SRP RNA_ and mediates binding of SRP to signal receptor; contains GTPase domain [Saccharomyces cerevisiae]
OG0000980	2	6183.Smp_060900.1	NC_001136 Splicing factor_ component of the U4/U6-U5 snRNP complex [Saccharomyces cerevisiae]
OG0000981	2	6183.Smp_060910.1	NC_001148 Core Sm protein Sm F; part of heteroheptameric complex _with Smb1p_ Smd1p_ Smd2p_ Smd3p_ Sme1p_ and Smx2p_ that is part of the spliceosomal U1_ U2_ U4_ and U5 snRNPs; homolog of human Sm F [Saccharomyces cerevisiae]
OG0000983	2	6183.Smp_060950.1	NC_001134 Peripheral membrane protein required for vesicular transport between ER and Golgi and for the 'priming' step in homotypic vacuole fusion_ part of the cis-SNARE complex; has similarity to alpha-SNAP [Saccharomyces cerevisiae]
OG0000985	2	6183.Smp_061200.1	NC_001148 N-terminally acetylated ribosomal protein L37 of the large _60S_ ribosomal subunit_ nearly identical to Rpl33Bp and has similarity to rat L35a; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable [Saccharomyces cerevisiae]
OG0000986	2	6183.Smp_061300.1	NC_001139 Subunit _60 kDa_ of TFIID and SAGA complexes_ involved in transcription initiation of RNA polymerase II and in chromatin modification_ similar to histone H4 [Saccharomyces cerevisiae]
OG0000987	2	6183.Smp_061650.1	NC_001136 Essential_ non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog _S9 protein_ partially rescues Rpn6p depletion [Saccharomyces cerevisiae]
OG0000989	2	6183.Smp_061950.1	NC_001146 Component of the SSU processome_ which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma_70_-like motif and associate with RNAs [Saccharomyces cerevisiae]
OG0000992	2	6183.Smp_062790.1	NC_001147 Protein of the mitochondrial matrix involved in protein import into mitochondria; acts as a cochaperone and a nucleotide release factor for Ssc1p; homolog of E. coli GrpE [Saccharomyces cerevisiae]
OG0000994	2	6183.Smp_063420.1	NC_001142 Subunit of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ required for the assembly of actin and tubulins in vivo [Saccharomyces cerevisiae]
OG0000995	2	6183.Smp_063650.4	NC_001148 Transcription factor TFIIB_ a general transcription factor required for transcription initiation and start site selection by RNA polymerase II [Saccharomyces cerevisiae]
OG0000996	2	6183.Smp_064050.2	NC_001136 Essential protein involved in transcription regulation; component of chromatin remodeling complexes; required for assembly and function of the INO80 complex; also referred to as pontin; member of the RUVB-like protein family [Saccharomyces cerevisiae]
OG0000997	2	6183.Smp_064260.1	NC_001140 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; has similarity to human hRrp4p _EXOSC2_ [Saccharomyces cerevisiae]
OG0000998	2	6183.Smp_064510.1	NC_001147 Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA [Saccharomyces cerevisiae]
OG0000999	2	6183.Smp_064520.1	NC_001140 Protein of unknown function required for establishment of sister chromatid cohesion; synthetically lethal with RFC5_ an RF-C subunit that links replication to cohesion establishment; YHR122W is an essential gene [Saccharomyces cerevisiae]
OG0001000	2	6183.Smp_064640.1	NC_001140 RNA binding protein_ component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores_ involved in the formation of DSBs through meiosis-specific splicing of MER2 pre-mRNA [Saccharomyces cerevisiae]
OG0001002	2	6183.Smp_064750.1	NC_001136 Pantothenate kinase _ATP_D-pantothenate 4'-phosphotransferase_ EC 2.7.1.33_; catalyzes the first committed step in the universal biosynthetic pathway for synthesis of coenzyme A _CoA_ [Saccharomyces cerevisiae]
OG0001003	2	6183.Smp_065110.1	NC_001148 Mitochondrial inner membrane protein exposed to the mitochondrial matrix_ associates with mitochondrial ribosomes_ NOT required for respiratory growth; homolog of human Letm1_ a protein implicated in Wolf-Hirschhorn syndrome [Saccharomyces cerevisiae]
OG0001004	2	6183.Smp_065120.1	NC_001140 Deoxyhypusine synthase_ catalyzes formation of deoxyhypusine_ the first step in hypusine biosynthesis; triggers posttranslational hypusination of translation elongation factor eIF-5A and regulates its intracellular levels; tetrameric [Saccharomyces cerevisiae]
OG0001005	2	6183.Smp_065130.2	NC_001143 Protein involved in glycosylphosphatidylinositol _GPI_ anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes [Saccharomyces cerevisiae]
OG0001006	2	6183.Smp_065150.1	NC_001138 Acetyltransferase required for Smc3p acetylation during the establishment of sister chromatid cohesion during DNA replication; required in response to double-strand breaks and during postreplicative double-strand break repair [Saccharomyces cerevisiae]
OG0001009	2	6183.Smp_065840.1	NC_001146 Essential type II topoisomerase_ relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis [Saccharomyces cerevisiae]
OG0001011	2	6183.Smp_066260.1	NC_001146 Subunit of heteropentameric Replication factor C _RF-C__ which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen _PCNA_ processivity factor for DNA polymerases delta and epsilon [Saccharomyces cerevisiae]
OG0001012	2	6183.Smp_066630.1	NC_001134 Polypeptide release factor _eRF1_ in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin [Saccharomyces cerevisiae]
OG0001013	2	6183.Smp_066740.1	NC_001139 Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth [Saccharomyces cerevisiae]
OG0001014	2	6183.Smp_066990.1	NC_001140 Protein component of the small _40S_ ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins [Saccharomyces cerevisiae]
OG0001015	2	6183.Smp_067260.1	NC_001134 B subunit of DNA polymerase alpha-primase complex_ required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation [Saccharomyces cerevisiae]
OG0001016	2	6183.Smp_067420.1	NC_001147 U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49; proposed to function as a U2-snRNP assembly factor along with Hsh155p and binding partner Cus1p; contains two RNA recognition motifs _RRM_ [Saccharomyces cerevisiae]
OG0001017	2	6183.Smp_067780.1	NC_001134 Non-essential tetra-spanning membrane protein found mostly in the late Golgi_ can suppress some sed5 alleles; may be part of the transport machinery_ but precise function is unknown; similar to mammalian syntaxin 5 [Saccharomyces cerevisiae]
OG0001018	2	6183.Smp_067890.1	NC_001145 Alpha 2 subunit of the 20S proteasome [Saccharomyces cerevisiae]
OG0001021	2	6183.Smp_068270.4	NC_001139 Trimeric heat shock transcription factor_ activates multiple genes in response to stresses that include hyperthermia; recognizes variable heat shock elements _HSEs_ consisting of inverted NGAAN repeats; posttranslationally regulated [Saccharomyces cerevisiae]
OG0001022	2	6183.Smp_068420.1	NC_001144 Core Sm protein Sm D3; part of heteroheptameric complex _with Smb1p_ Smd1p_ Smd2p_ Sme1p_ Smx3p_ and Smx2p_ that is part of the spliceosomal U1_ U2_ U4_ and U5 snRNPs; homolog of human Sm D3 [Saccharomyces cerevisiae]
OG0001023	2	6183.Smp_068480.1	NC_001145 Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES_ Sed5p and Pep12p; required for multiple vacuolar sorting pathways [Saccharomyces cerevisiae]
OG0001024	2	6183.Smp_068920.3	NC_001144 Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles _snoRNPs__ acts on both large and small rRNAs and on snRNA U2 [Saccharomyces cerevisiae]
OG0001026	2	6183.Smp_070070.1	NC_001142 Subunit of cleavage polyadenylation factor _CPF__ interacts directly with poly_A_ polymerase _Pap1p_ to regulate its activity [Saccharomyces cerevisiae]
OG0001027	2	6183.Smp_070690.1	NC_001143 Subunit of the anaphase-promoting complex/cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition; required for sporulation [Saccharomyces cerevisiae]
OG0001028	2	6183.Smp_070710.1	NC_001142 Farnesyl pyrophosphate synthetase_ has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis [Saccharomyces cerevisiae]
OG0001032	2	6183.Smp_071390.1	NC_001143 Uridylate kinase_ catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines_ converting uridine monophosphate _UMP_ into uridine-5'-diphosphate _UDP_ [Saccharomyces cerevisiae]
OG0001033	2	6183.Smp_071570.1	NC_001139 TFIIIB B-related factor_ one of three subunits of RNA polymerase III transcription initiation factor TFIIIB_ binds TFIIIC and TBP and recruits RNA pol III to promoters_ amino-terminal half is homologous to TFIIB [Saccharomyces cerevisiae]
OG0001034	2	6183.Smp_071830.1	NC_001143 TFIIA small subunit; involved in transcriptional activation_ acts as antirepressor or as coactivator; homologous to smallest subunit of human and Drosophila TFIIA [Saccharomyces cerevisiae]
OG0001037	2	6183.Smp_072100.1	NC_001135 Component of the CCR4-NOT complex_ which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor [Saccharomyces cerevisiae]
OG0001038	2	6183.Smp_072140.1	NC_001148 GTP-binding protein of the rho subfamily of Ras-like proteins_ involved in establishment of cell polarity; regulates protein kinase C _Pkc1p_ and the cell wall synthesizing enzyme 1_3-beta-glucan synthase _Fks1p and Gsc2p_ [Saccharomyces cerevisiae]
OG0001040	2	6183.Smp_072340.1	NC_001136 One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B [Saccharomyces cerevisiae]
OG0001041	2	6183.Smp_072790.1	NC_001142 Essential_ conserved_ cytoplasmic ATPase; phosphorylated by the Pcl1p-Pho85p kinase complex [Saccharomyces cerevisiae]
OG0001044	2	6183.Smp_073410.1	NC_001147 Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z [Saccharomyces cerevisiae]
OG0001045	2	6183.Smp_073560.2	NC_001146 Protein required for the transport of amino acid permease Gap1p from the Golgi to the cell surface; component of the TOR signaling pathway; associates with both Tor1p and Tor2p; contains a WD-repeat [Saccharomyces cerevisiae]
OG0001046	2	6183.Smp_073570.1	NC_001148 RNA polymerase subunit ABC23_ common to RNA polymerases I_ II_ and III; part of central core; similar to bacterial omega subunit [Saccharomyces cerevisiae]
OG0001047	2	6183.Smp_073590.1	NC_001148 GTPase_ GTP-binding protein of the ARF family_ component of COPII coat of vesicles; required for transport vesicle formation during ER to Golgi protein transport [Saccharomyces cerevisiae]
OG0001048	2	6183.Smp_073720.1	NC_001141 Subunit of the ARP2/3 complex_ which is required for the motility and integrity of cortical actin patches [Saccharomyces cerevisiae]
OG0001050	2	6183.Smp_073990.1	NC_001139 tRNAHis guanylyltransferase_ adds a guanosine residue to the 5' end of tRNAHis after transcription and RNase P cleavage; couples nuclear division and migration to cell budding and cytokinesis; essential enzyme conserved among eukaryotes [Saccharomyces cerevisiae]
OG0001053	2	6183.Smp_074500.2	NC_001137 Beta 4 subunit of the 20S proteasome; localizes to the nucleus throughout the cell cycle [Saccharomyces cerevisiae]
OG0001056	2	6183.Smp_075470.1	NC_001135 Cysteine desulfurase involved in iron-sulfur cluster _Fe/S_ biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria [Saccharomyces cerevisiae]
OG0001057	2	6183.Smp_075560.1	NC_001144 Core Sm protein Sm D2; part of heteroheptameric complex _with Smb1p_ Smd1p_ Smd3p_ Sme1p_ Smx3p_ and Smx2p_ that is part of the spliceosomal U1_ U2_ U4_ and U5 snRNPs; homolog of human Sm D2 [Saccharomyces cerevisiae]
OG0001060	2	6183.Smp_076230.1	NC_001147 Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit _Pre9p_ under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress [Saccharomyces cerevisiae]
OG0001063	2	6183.Smp_076530.1	NC_001139 Nucleotide exchange factor for Gsp1p_ localizes to the nucleus_ required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p [Saccharomyces cerevisiae]
OG0001064	2	6183.Smp_076630.2	NC_001140 Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex [Saccharomyces cerevisiae]
OG0001065	2	6183.Smp_076660.1	NC_001142 DNA polymerase III _delta_ subunit_ essential for cell viability; involved in DNA replication and DNA repair [Saccharomyces cerevisiae]
OG0001067	2	6183.Smp_076880.1	NC_001136 Subunit of the SF3a splicing factor complex_ required for spliceosome assembly [Saccharomyces cerevisiae]
OG0001074	2	6183.Smp_078520.1	NC_001146 Constituent of 66S pre-ribosomal particles_ involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm [Saccharomyces cerevisiae]
OG0001077	2	6183.Smp_078640.1	NC_001144 Lsm _Like Sm_ protein; part of heteroheptameric complexes _Lsm2p-7p and either Lsm1p or 8p__ cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA_ snoRNA_ and rRNA [Saccharomyces cerevisiae]
OG0001078	2	6183.Smp_078920.1	NC_001136 Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation_ chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus [Saccharomyces cerevisiae]
OG0001079	2	6183.Smp_079050.1	NC_001143 Subunit of DNA primase_ which is required for DNA synthesis and double-strand break repair [Saccharomyces cerevisiae]
OG0001080	2	6183.Smp_079220.1	NC_001134 Major ADP/ATP carrier of the mitochondrial inner membrane_ exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; required for viability in many common lab strains carrying a mutation in the polymorphic SAL1 gene [Saccharomyces cerevisiae]
OG0001081	2	6183.Smp_079240.1	NC_001134 dUTPase_ catalyzes hydrolysis of dUTP to dUMP and PPi_ thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability [Saccharomyces cerevisiae]
OG0001082	2	6183.Smp_079380.1	NC_001136 Component of serine palmitoyltransferase_ responsible along with Lcb1p for the first committed step in sphingolipid synthesis_ which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine [Saccharomyces cerevisiae]
OG0001086	2	6183.Smp_080280.1	NC_001147 TFIIA large subunit; involved in transcriptional activation_ acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA [Saccharomyces cerevisiae]
OG0001088	2	6183.Smp_080840.1	NC_001140 Essential protein required for the accumulation of box C/D snoRNA [Saccharomyces cerevisiae]
OG0001089	2	6183.Smp_081420.1	NC_001136 Biotin_apoprotein ligase_ covalently modifies proteins with the addition of biotin_ required for acetyl-CoA carboxylase _Acc1p_ holoenzyme formation [Saccharomyces cerevisiae]
OG0001090	2	6183.Smp_081820.3	NC_001136 Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation_ localizes to the ER_ highly enriched in a structure marking nuclear-vacuolar junctions_ coimmunoprecipitates with elongases Fen1p and Sur4p [Saccharomyces cerevisiae]
OG0001091	2	6183.Smp_082050.1	NC_001136 Ubiquitin-conjugating enzyme that mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation _ERAD_; component of the cellular stress response [Saccharomyces cerevisiae]
OG0001092	2	6183.Smp_082120.1	NC_001136 Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase_ which is a large_ evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated [Saccharomyces cerevisiae]
OG0001094	2	6183.Smp_082710.1	NC_001139 Catalytic component of UDP-GlcNAc transferase_ required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases [Saccharomyces cerevisiae]
OG0001096	2	6183.Smp_082790.1	NC_001148 Subunit of TFIIH and nucleotide excision repair factor 3 complexes_ involved in transcription initiation_ required for nucleotide excision repair_ similar to 52 kDa subunit of human TFIIH [Saccharomyces cerevisiae]
OG0001097	2	6183.Smp_082800.1	NC_001136 Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM _Sec1/Munc-18_ family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex [Saccharomyces cerevisiae]
OG0001098	2	6183.Smp_082810.2	NC_001144 Small rho-like GTPase_ essential for establishment and maintenance of cell polarity; mutants have defects in the organization of actin and septins [Saccharomyces cerevisiae]
OG0001099	2	6183.Smp_082860.1	NC_001147 Cytoplasmic tryptophanyl-tRNA synthetase_ aminoacylates tryptophanyl-tRNA [Saccharomyces cerevisiae]
OG0001100	2	6183.Smp_082990.1	NC_001144 Splicing factor associated with the spliceosome; contains a U-box_ a motif found in a class of ubiquitin ligases [Saccharomyces cerevisiae]
OG0001101	2	6183.Smp_083020.1	NC_001146 Component of the cytosolic iron-sulfur _FeS_ protein assembly machinery_ required for maturation of cytosolic and nuclear FeS proteins and for normal resistance to oxidative stress; homologous to human Narf [Saccharomyces cerevisiae]
OG0001102	2	6183.Smp_083740.1	NC_001147 Calcium-binding component of the spindle pole body _SPB_ half-bridge_ required for SPB duplication in mitosis and meiosis II; homolog of mammalian centrin; binds multiubiquitinated proteins and is involved in proteasomal protein degradation [Saccharomyces cerevisiae]
OG0001104	2	6183.Smp_084810.1	NC_001146 Subunit of both RNase MRP_ which cleaves pre-rRNA_ and nuclear RNase P_ which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in RNase P [Saccharomyces cerevisiae]
OG0001106	2	6183.Smp_085310.2	NC_001137 Essential_ non-ATPase regulatory subunit of the 26S proteasome lid_ similar to the p58 subunit of the human 26S proteasome; temperature-sensitive alleles cause metaphase arrest_ suggesting a role for the proteasome in cell cycle control [Saccharomyces cerevisiae]
OG0001108	2	6183.Smp_086760.1	NC_001147 Essential protein with similarity to phosducins_ which are G-protein regulators; interacts with CCT _chaperonin containing TCP-1_ complex; lethality of null mutation is complemented by expression of mouse phosducin-like protein MgcPhLP [Saccharomyces cerevisiae]
OG0001109	2	6183.Smp_087010.1	NC_001136 Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis_ intragenic recombination_ repair of double strand DNA breaks_ and DNA replication during nucleotide excision repair _NER_ [Saccharomyces cerevisiae]
OG0001110	2	6183.Smp_087320.1	NC_001136 Member of the CCCH zinc finger family; has similarity to mammalian Tis11 protein_ which activates transcription and also has a role in mRNA degradation; may function with Tis11p in iron homeostasis [Saccharomyces cerevisiae]
OG0001111	2	6183.Smp_087860.1	NC_001138 Phosphomannomutase_ involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen [Saccharomyces cerevisiae]
OG0001112	2	6183.Smp_087930.1	NC_001145 Mitochondrial inner membrane ATP-binding cassette _ABC_ transporter_ exports mitochondrially synthesized precursors of iron-sulfur _Fe/S_ clusters to the cytosol [Saccharomyces cerevisiae]
OG0001113	2	6183.Smp_089430.1	NC_001144 Fusion protein that is cleaved to yield a ribosomal protein of the small _40S_ subunit and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B [Saccharomyces cerevisiae]
OG0001114	2	6183.Smp_089590.1	NC_001137 Mannose-6-phosphate isomerase_ catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in protein mannosylation [Saccharomyces cerevisiae]
OG0001115	2	6183.Smp_089870.1	NC_001134 Histone H2A_ core histone protein required for chromatin assembly and chromosome function; one of two nearly identical _see also HTA1_ subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p [Saccharomyces cerevisiae]
OG0001119	2	6183.Smp_090820.1	NC_001135 Phosphatidylglycerolphosphate synthase_ catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis [Saccharomyces cerevisiae]
OG0001120	2	6183.Smp_090870.1	NC_001144 Component of both the Nup84 nuclear pore sub-complex and of the COPII complex _Sar1p_ Sec13p_ Sec16p_ Sec23p_ Sec24p_ Sec31p_ Sfb2p_ and Sfb3p_ which is important for the formation of ER to Golgi transport vesicles [Saccharomyces cerevisiae]
OG0001121	2	6183.Smp_091460.1	NC_001148 Glutamine synthetase _GS__ synthesizes glutamine from glutamate and ammonia; with Glt1p_ forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation [Saccharomyces cerevisiae]
OG0001122	2	6183.Smp_091650.1	NC_001141 Putative aminophospholipid translocase _flippase_ involved in endocytosis and vacuolar biogenesis; localizes to endosomes and the Golgi aparatus [Saccharomyces cerevisiae]
